[ERROR 2020-06-08 18:20:59]Response body msg != expected_msg, expected_msg is 对比结果不一致, body_msg is 1
[ERROR 2020-06-09 10:29:02]Response body msg != expected_msg, expected_msg is 密码错误, body_msg is message
[ERROR 2020-06-09 11:05:30]Response body != expected_msg, expected_msg is 200, body is 200
[ERROR 2020-06-09 11:06:16]Response body != expected_msg, expected_msg is 200, body is 200
[ERROR 2020-06-09 11:09:36]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 11:10:25]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 11:12:01]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 11:16:33]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 11:17:14]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 11:18:10]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 11:19:11]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 11:19:39]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 11:19:54]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 11:20:41]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 11:22:47]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'auth'
[ERROR 2020-06-09 11:22:49]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'auth'
[ERROR 2020-06-09 11:22:49]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'auth'
[ERROR 2020-06-09 11:22:49]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'auth'
[ERROR 2020-06-09 11:37:11]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 11:42:43]Response body != expected_msg, expected_msg is data should have required property 'auth', body is data should have required property 'password'
[ERROR 2020-06-09 11:45:48]Response body != expected_msg, expected_msg is data should have required property 'password', body is data.mode should be equal to one of the allowed values
[ERROR 2020-06-09 11:53:17]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 11:54:24]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 13:52:12]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 13:53:47]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-09 13:58:28]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:47:06]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:47:06]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":61}
[ERROR 2020-06-09 15:47:06]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":61}
[ERROR 2020-06-09 15:47:06]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:47:12]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:47:12]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":61}
[ERROR 2020-06-09 15:47:12]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:47:12]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":61}
[ERROR 2020-06-09 15:48:05]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:48:05]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":61}
[ERROR 2020-06-09 15:48:05]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 15:48:05]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":61}
[ERROR 2020-06-09 15:48:07]Response body != expected_msg, expected_msg is NULL, body is None
[ERROR 2020-06-09 15:48:27]Response body != expected_msg, expected_msg is None, body is None
[ERROR 2020-06-09 16:12:33]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 16:12:33]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":65}
[ERROR 2020-06-09 16:12:33]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":65}
[ERROR 2020-06-09 16:12:33]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:33]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:33]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 16:12:34]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":65}
[ERROR 2020-06-09 16:12:34]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:34]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 16:12:34]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:34]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":65}
[ERROR 2020-06-09 16:12:34]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 16:12:36]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
